Platform,Hashtag,Content_Type,Impressions,Views,Likes,Shares,Comments,Engagement_Rate
Twitter,Education,Carrousel,39837,25507,26375,16455,4661,1.8619
Twitter,Music,Carrousel,93784,83287,9092,1264,2144,0.1501
Instagram,Music,Video,121463,95201,13233,1825,7327,0.2351
Facebook,Fitness,Carrousel,130045,96024,12833,4970,7140,0.2598
TikTok,Tech,Video,122661,82597,6792,2281,5896,0.1812
Instagram,Education,Photo,167533,81799,9175,2409,8070,0.2403
Twitter,Comedy,Photo,165099,97386,15946,493,6461,0.2351
Instagram,Beauty,Video,85730,58866,20127,19497,1163,0.6929
Facebook,Gaming,Photo,100061,35338,3044,2820,2753,0.2438
Facebook,Music,Carrousel,122740,93488,7727,7194,3868,0.201
Facebook,Music,Photo,133271,74259,6179,5514,5249,0.2281
Twitter,Gaming,Video,168255,86041,11678,1084,1915,0.1706
Instagram,Music,Photo,131435,95713,9625,4192,1965,0.1649
TikTok,Fitness,Video,94494,89193,4596,3635,3336,0.1297
TikTok,Beauty,Video,127081,93017,15370,459,3796,0.211
Instagram,Education,Video,163160,92889,10749,5436,2711,0.2034
TikTok,Challenge,Video,166281,82782,5454,3740,71,0.1119
Facebook,Challenge,Video,145728,96549,9377,754,9031,0.1985
Instagram,Tech,Video,149570,99312,12820,1478,10903,0.2538
Instagram,Tech,Video,157175,98575,19563,3783,41,0.2373
Facebook,Fitness,Carrousel,117577,98176,9567,1955,1730,0.135
TikTok,Challenge,Video,137632,93442,19244,2318,2215,0.2545
Facebook,Fitness,Carrousel,97106,95930,12740,3031,1427,0.1793
Twitter,Gaming,Carrousel,164127,79347,20225,11557,2437,0.4313
TikTok,Music,Video,151787,94650,8345,5585,1207,0.1599
Twitter,Beauty,Text,138899,91707,16582,1336,4855,0.2483
Instagram,Education,Video,139161,92207,5608,2583,2089,0.1115
Instagram,Comedy,Video,148338,95837,10430,4742,4836,0.2088
Instagram,Challenge,Video,80090,59061,4205,177,3779,0.1382
Twitter,Gaming,Text,99819,94838,15140,212,6195,0.2272
Facebook,Music,Photo,124832,48264,6745,3867,258,0.2252
Facebook,Challenge,Carrousel,148196,97160,17147,4641,2824,0.2533
Instagram,Music,Video,147960,84665,11687,4016,1054,0.1979
Twitter,Fitness,Carrousel,127491,93615,7264,746,2359,0.1108
TikTok,Challenge,Video,141111,86609,14529,1375,799,0.1929
Facebook,Gaming,Text,111252,87532,8893,928,2755,0.1437
Facebook,Music,Video,146107,95481,14418,5249,1857,0.2254
Facebook,Tech,Video,114188,98976,9119,2941,4998,0.1723
Twitter,Challenge,Photo,137809,99515,13687,8474,2255,0.2453
Facebook,Gaming,Photo,108163,67279,18874,18138,7675,0.6642
TikTok,Fitness,Video,134441,36978,4866,3553,626,0.2446
Facebook,Comedy,Video,115600,88686,12848,3226,824,0.1905
TikTok,Beauty,Video,149955,82330,9348,905,6545,0.204
Instagram,Comedy,Video,114576,96394,21201,508,9836,0.3273
Instagram,Gaming,Video,90602,88042,10339,6914,3885,0.2401
Instagram,Fitness,Video,177957,93994,16589,8495,1182,0.2794
Facebook,Education,Photo,164063,58161,2925,439,457,0.0657
Twitter,Beauty,Carrousel,136270,88720,11998,322,7382,0.2221
TikTok,Challenge,Video,101939,89094,14170,7052,3421,0.2766
Facebook,Comedy,Photo,92566,38573,6920,1147,1342,0.2439
Facebook,Comedy,Text,124547,83808,7760,7020,4472,0.2297
Twitter,Beauty,Text,178879,89905,23106,19691,915,0.4862
Twitter,Challenge,Text,171141,81695,12924,5022,1924,0.2432
Instagram,Tech,Video,89670,83140,11292,2609,4712,0.2239
TikTok,Challenge,Video,119334,92549,13845,3270,3731,0.2252
Facebook,Education,Video,151604,96793,14839,5244,3340,0.242
Instagram,Music,Video,111724,55033,5182,19,1564,0.1229
TikTok,Fitness,Photo,158833,74384,7497,2027,4356,0.1866
Instagram,Tech,Video,131539,54366,2748,2256,1621,0.1219
TikTok,Comedy,Video,117935,92564,14755,7117,2091,0.2589
Instagram,Comedy,Video,174991,99024,10490,10173,1902,0.2279
Twitter,Education,Photo,66454,61880,12015,7043,9694,0.4646
Twitter,Music,Carrousel,165022,88632,12929,1670,1737,0.1843
Twitter,Education,Text,140046,69692,8134,5674,1565,0.2206
Facebook,Tech,Carrousel,160557,32129,14833,3646,8095,0.8271
Instagram,Fitness,Video,124443,59707,5388,938,4107,0.1747
Twitter,Challenge,Carrousel,162727,56729,8670,244,5461,0.2534
Instagram,Gaming,Video,147292,49597,3483,286,288,0.0818
Instagram,Fitness,Video,120601,92884,10378,352,3332,0.1514
TikTok,Tech,Video,98155,22851,2496,978,1297,0.2088
Facebook,Beauty,Carrousel,91908,73147,7032,4660,862,0.1716
Facebook,Gaming,Text,143522,78034,8797,4631,3060,0.2113
Facebook,Tech,Photo,92069,76149,12039,2051,3112,0.2259
TikTok,Music,Video,118146,38396,19711,509,2099,0.5813
Instagram,Gaming,Video,101768,83414,7923,3218,6126,0.207
TikTok,Challenge,Video,168338,98778,18960,3584,1802,0.2465
TikTok,Challenge,Video,154214,87940,18346,1499,969,0.2367
TikTok,Gaming,Video,139923,75069,14996,3101,646,0.2497
Instagram,Gaming,Video,137351,15202,13508,6024,2265,1.4338
TikTok,Fitness,Photo,83759,80627,6344,5532,1005,0.1598
Facebook,Music,Video,130304,94854,15458,1598,5720,0.2401
Instagram,Challenge,Video,174833,89613,9700,884,4996,0.1739
Instagram,Challenge,Video,123095,92353,12495,6306,315,0.207
Facebook,Comedy,Text,141106,46230,5541,4573,46,0.2198
TikTok,Music,Video,105946,94864,9959,2002,8740,0.2182
TikTok,Music,Video,105402,98298,19113,593,4901,0.2503
Twitter,Fitness,Text,119392,79964,9706,7284,2490,0.2436
Facebook,Education,Video,144031,68991,8137,2399,2070,0.1827
Facebook,Fitness,Carrousel,168582,71328,9791,3849,1562,0.2131
Twitter,Fitness,Carrousel,165069,77449,17732,30,1859,0.2533
Facebook,Fitness,Text,130877,84377,10921,5151,136,0.1921
Facebook,Education,Photo,154962,84647,3974,1574,2388,0.0938
TikTok,Tech,Video,92317,54665,5669,2805,1773,0.1875
TikTok,Comedy,Photo,107610,90476,12954,10106,265,0.2578
Twitter,Challenge,Video,85350,72194,5409,3823,2327,0.1601
Twitter,Challenge,Text,151598,56769,5205,5123,659,0.1935
Instagram,Tech,Video,132825,73534,5713,1339,2765,0.1335
Facebook,Beauty,Carrousel,157346,86327,7136,1005,1082,0.1068
TikTok,Beauty,Video,120908,3307,1691,1047,130,0.8673
Twitter,Challenge,Video,161527,86635,10193,4434,542,0.1751
Instagram,Gaming,Video,134807,92185,10175,2867,4523,0.1905
TikTok,Education,Video,142276,86409,10155,1863,3388,0.1783
Twitter,Education,Text,113069,66279,10624,4515,1539,0.2516
Twitter,Fitness,Video,159390,85606,15113,3298,2348,0.2425
Facebook,Comedy,Video,116535,68047,29586,15918,5922,0.7557
Twitter,Tech,Text,94077,39130,23781,19425,9909,1.3574
Twitter,Fitness,Video,107543,81638,4201,1562,4164,0.1216
Instagram,Beauty,Video,159818,60825,3600,1472,684,0.0946
TikTok,Beauty,Video,138890,91605,15437,1274,6758,0.2562
Instagram,Education,Video,143803,94985,13380,2800,7839,0.2529
Instagram,Music,Photo,98976,54481,2155,1203,519,0.0712
Facebook,Gaming,Video,168294,73352,9617,7587,1194,0.2508
Facebook,Beauty,Carrousel,69472,62431,7621,2870,924,0.1828
Instagram,Tech,Carrousel,87298,61322,4957,29,3196,0.1334
Facebook,Comedy,Photo,178379,59003,13925,8360,1354,0.4006
Instagram,Beauty,Photo,114189,68367,7430,2803,3659,0.2032
Facebook,Beauty,Text,174098,77947,10554,6122,2043,0.2402
TikTok,Education,Video,53251,36957,3646,706,1889,0.1689
Facebook,Beauty,Photo,108310,93743,17964,436,1314,0.2103
Twitter,Tech,Photo,33069,10754,16474,6968,4097,2.5608
TikTok,Gaming,Video,89531,64434,5717,4424,4130,0.2215
TikTok,Challenge,Video,98922,74281,7703,3486,4996,0.2179
Facebook,Comedy,Photo,149643,85678,11971,4635,2264,0.2202
Facebook,Fitness,Carrousel,123895,99269,3987,1827,1303,0.0717
Instagram,Beauty,Video,136590,43902,1969,778,1142,0.0886
Instagram,Gaming,Video,160723,92918,12493,6268,1085,0.2136
Instagram,Music,Video,174443,98269,18383,4138,1837,0.2479
Instagram,Education,Video,179939,99964,12973,2758,5988,0.2173
Twitter,Tech,Carrousel,167457,87410,11127,9646,1500,0.2548
Instagram,Comedy,Video,99727,54318,10667,21,1241,0.2196
Instagram,Gaming,Video,93864,84437,9107,3913,7852,0.2472
TikTok,Music,Photo,140113,98694,13157,4634,5673,0.2377
Twitter,Music,Photo,108726,87570,11578,1270,1737,0.1666
Facebook,Fitness,Video,106634,97595,5757,2721,3679,0.1246
Facebook,Music,Video,151948,87822,3682,1782,2980,0.0961
TikTok,Tech,Video,170940,89566,8281,6444,828,0.1736
Instagram,Tech,Video,107908,56323,6698,4294,3362,0.2549
Facebook,Tech,Text,82716,81776,8991,1255,8369,0.2276
TikTok,Challenge,Photo,174832,52959,4907,2804,122,0.1479
Instagram,Music,Video,134543,99355,11765,1930,6449,0.2027
Instagram,Tech,Video,163645,97417,13585,4718,1580,0.2041
TikTok,Challenge,Video,140221,90576,9429,6571,1109,0.1889
TikTok,Fitness,Video,82662,80743,10304,3339,991,0.1812
Facebook,Fitness,Carrousel,139684,85339,5880,25,5375,0.1322
Twitter,Education,Video,100515,97600,7424,775,6364,0.1492
Instagram,Gaming,Video,102030,65478,6010,617,5717,0.1885
Instagram,Education,Carrousel,144165,88378,4541,4046,2717,0.1279
Facebook,Music,Photo,169653,91214,9802,1780,4542,0.1768
TikTok,Education,Video,177901,99036,22022,18125,4518,0.451
Facebook,Tech,Text,155219,92168,14554,4381,1092,0.2173
TikTok,Tech,Video,139491,99598,9548,9517,5521,0.2469
Instagram,Education,Video,114150,82688,16193,1812,3173,0.2561
TikTok,Fitness,Video,146064,88399,12701,8341,1156,0.2511
Instagram,Challenge,Carrousel,96251,53476,2677,1977,2131,0.1269
TikTok,Education,Video,173973,98517,5388,2221,35,0.0776
Instagram,Music,Carrousel,101962,98537,12321,2804,3508,0.1891
Instagram,Beauty,Carrousel,140630,94846,8945,4833,1416,0.1602
Instagram,Education,Video,122677,62937,10530,488,2312,0.2118
TikTok,Education,Video,120620,94427,13101,7894,776,0.2306
Facebook,Music,Carrousel,137791,94570,17137,2410,1270,0.2201
Facebook,Challenge,Photo,94994,74283,2903,1788,44,0.0637
TikTok,Education,Video,107774,99643,14651,1837,5763,0.2233
Instagram,Gaming,Video,178066,88960,4478,3391,3600,0.1289
Instagram,Education,Video,138361,80208,26865,16493,6656,0.6236
Facebook,Gaming,Carrousel,131716,84221,8936,5993,238,0.1801
Twitter,Fitness,Photo,156665,47512,29136,14252,10766,1.1398
Facebook,Comedy,Text,93918,63426,10117,2331,987,0.2118
Twitter,Gaming,Photo,172758,92977,7338,1103,1609,0.1081
Twitter,Education,Video,125642,78105,16221,2233,98,0.2375
Facebook,Fitness,Text,156774,61775,8756,2367,124,0.1821
Facebook,Gaming,Photo,110761,75279,23399,18358,9384,0.6794
Facebook,Comedy,Text,121486,67491,6741,4124,6567,0.2583
Facebook,Comedy,Photo,156650,70786,8353,3448,3406,0.2148
Instagram,Comedy,Video,174916,86202,17233,11735,6650,0.4132
TikTok,Gaming,Video,158726,85674,12427,1290,5749,0.2272
Instagram,Comedy,Video,114164,96828,15064,5716,1793,0.2331
TikTok,Beauty,Video,101213,84866,7554,1214,6808,0.1835
Twitter,Education,Video,166493,87010,8240,6669,3669,0.2135
TikTok,Beauty,Video,92202,87329,7694,1465,1519,0.1223
TikTok,Challenge,Photo,109673,82973,10584,4776,2776,0.2186
Twitter,Gaming,Photo,92233,85223,11577,8128,542,0.2376
Facebook,Comedy,Video,108358,85622,8949,3221,6492,0.218
Twitter,Gaming,Carrousel,162383,81236,8962,8040,3642,0.2541
TikTok,Fitness,Video,100559,87185,16663,2471,2994,0.2538
TikTok,Fitness,Video,167525,72171,12638,2270,104,0.208
Twitter,Gaming,Video,152132,97182,6637,1472,2312,0.1072
TikTok,Fitness,Video,95006,94462,12255,3479,4587,0.2151
Facebook,Music,Photo,121458,87078,13448,1133,4612,0.2204
TikTok,Challenge,Video,149696,89512,6636,3401,3307,0.1491
TikTok,Tech,Video,175469,91561,11466,10296,739,0.2457
Instagram,Education,Video,136617,77166,8337,4374,3627,0.2117
Instagram,Education,Video,130257,97262,11648,3538,4328,0.2006
Twitter,Comedy,Photo,147540,53218,7536,3092,432,0.2078
Instagram,Fitness,Photo,105864,60299,3302,2755,3092,0.1517
Twitter,Gaming,Photo,157266,30278,4499,818,2146,0.2465
TikTok,Education,Video,120166,54020,9477,185,2615,0.2273
Twitter,Music,Video,137707,96792,4383,3608,95,0.0835
Twitter,Beauty,Text,19180,13601,17919,12862,1015,2.3378
TikTok,Tech,Video,119642,91824,12953,4926,3589,0.2338
TikTok,Challenge,Video,145865,95337,14775,278,5655,0.2172
Facebook,Education,Video,145154,94921,15890,426,5169,0.2263
Facebook,Challenge,Photo,27872,23065,16057,11031,8028,1.5225
Facebook,Comedy,Video,113345,64119,10457,2074,2958,0.2416
Twitter,Gaming,Photo,162432,74797,14943,1763,93,0.2246
TikTok,Comedy,Video,78602,75292,9366,248,7920,0.2329
Facebook,Education,Photo,143698,85096,11089,6652,1528,0.2264
TikTok,Tech,Photo,166475,87126,9858,8328,1308,0.2237
Twitter,Gaming,Carrousel,156002,52780,15723,9007,3376,0.5325
Instagram,Challenge,Video,178539,91746,10119,547,9356,0.2182
Twitter,Comedy,Carrousel,98530,69549,7138,1828,6025,0.2155
Instagram,Gaming,Video,115314,92451,6820,3353,3639,0.1494
Instagram,Education,Video,108725,89541,12559,1371,4243,0.203
Instagram,Comedy,Video,153810,93529,10651,1300,5445,0.186
Twitter,Fitness,Photo,134884,33464,24862,19897,5115,1.4904
Facebook,Beauty,Photo,159499,94366,9638,2732,3604,0.1693
TikTok,Education,Video,119727,75123,16193,489,555,0.2295
Facebook,Challenge,Text,137078,81369,10051,593,4007,0.1801
TikTok,Challenge,Video,120326,97236,13360,3981,1454,0.1933
Facebook,Education,Photo,157208,99818,10474,7066,5299,0.2288
Facebook,Education,Text,171603,95840,16634,3956,2509,0.241
Facebook,Comedy,Photo,142795,97934,14007,2982,2413,0.1981
Instagram,Gaming,Carrousel,102393,87002,4333,1169,2173,0.0882
TikTok,Education,Photo,145928,98562,11070,2695,8611,0.227
TikTok,Challenge,Video,105076,72177,4893,4620,4630,0.1959
Twitter,Music,Text,148779,86847,8151,3173,2250,0.1563
Instagram,Tech,Video,163781,57023,7969,652,4782,0.235
Twitter,Education,Carrousel,151082,66744,7952,3250,1088,0.1841
Facebook,Music,Text,111317,80762,8572,673,4192,0.1664
Facebook,Fitness,Photo,179674,73152,9017,32,8579,0.241
Twitter,Fitness,Video,130757,98410,11610,4424,5417,0.218
TikTok,Challenge,Video,122851,83657,9773,5179,4751,0.2355
Instagram,Comedy,Video,88115,74849,7658,3054,1688,0.1657
TikTok,Education,Video,160608,93479,7656,7108,4887,0.2102
Instagram,Beauty,Video,110220,68941,7701,924,1068,0.1406
Facebook,Beauty,Photo,141952,91777,13038,5112,927,0.2079
Twitter,Gaming,Carrousel,116650,67469,12408,2701,793,0.2357
TikTok,Challenge,Video,109238,81426,4759,4268,4172,0.1621
Instagram,Comedy,Carrousel,169913,97056,10023,522,3005,0.1396
Twitter,Fitness,Photo,95141,86775,6688,3671,4637,0.1728
TikTok,Challenge,Video,100245,99276,9991,4870,6844,0.2186
Facebook,Music,Text,118373,69690,7745,3543,5276,0.2377
Instagram,Challenge,Video,177509,77373,21425,10273,8142,0.5149
TikTok,Tech,Video,119266,47733,7018,275,78,0.1544
TikTok,Comedy,Video,131500,68218,2694,1806,1408,0.0866
Twitter,Beauty,Carrousel,82090,62079,4015,1841,3961,0.1581
Facebook,Comedy,Photo,158084,42184,27367,9077,5581,0.9962
Facebook,Education,Text,170957,90431,5180,2338,3739,0.1245
TikTok,Education,Video,82041,80098,5280,1525,4465,0.1407
Facebook,Challenge,Video,147399,95890,6413,4556,4292,0.1592
Instagram,Challenge,Video,178424,77068,24280,5464,9580,0.5103
TikTok,Tech,Video,98379,80834,11383,3358,5396,0.2491
TikTok,Challenge,Video,104483,89569,14696,2119,6367,0.2588
Facebook,Gaming,Video,164823,96566,12402,2308,3081,0.1842
Instagram,Challenge,Video,120793,60572,7910,2179,3524,0.2247
Facebook,Gaming,Video,106273,89893,15867,11385,3302,0.3399
Facebook,Tech,Text,109371,65763,4977,3475,4459,0.1963
Facebook,Fitness,Photo,155446,61079,12747,8606,6723,0.4597
Instagram,Challenge,Video,147237,25844,1875,307,1235,0.1322
Facebook,Music,Text,95282,84952,4829,856,1488,0.0844
Instagram,Education,Video,99280,99119,15206,1340,2088,0.188
TikTok,Music,Video,122928,37871,25568,18195,6551,1.3286
Twitter,Fitness,Carrousel,114245,39895,4592,1270,2338,0.2055
Twitter,Fitness,Text,148319,72512,8860,2457,4716,0.2211
TikTok,Beauty,Photo,94302,83240,9856,2214,7715,0.2377
Facebook,Gaming,Text,160566,60550,5355,4606,5292,0.2519
Twitter,Music,Carrousel,137195,66743,13017,1262,710,0.2246
TikTok,Tech,Video,134231,95145,10967,7201,1670,0.2085
TikTok,Music,Video,100282,94658,13784,1032,3655,0.1951
TikTok,Fitness,Video,125879,75882,7149,4914,684,0.168
TikTok,Beauty,Photo,116050,87112,3349,3213,1528,0.0929
Instagram,Beauty,Video,155514,91420,10475,2141,14,0.1382
Instagram,Music,Photo,104663,84375,13658,3330,3757,0.2459
Facebook,Music,Photo,100760,50555,8615,1015,2001,0.2301
Facebook,Comedy,Photo,119437,72016,7610,6963,2777,0.2409
TikTok,Comedy,Video,118848,74723,9632,5882,2160,0.2365
Twitter,Gaming,Text,148667,98333,18644,2065,1433,0.2252
TikTok,Education,Video,179247,93997,12560,6470,240,0.205
Instagram,Music,Video,176453,81829,10675,2830,1355,0.1816
TikTok,Tech,Photo,150570,94382,11639,3630,3103,0.1947
Facebook,Education,Text,179506,64147,24893,18999,3245,0.7348
Facebook,Music,Text,92331,78249,10742,688,433,0.1516
Twitter,Beauty,Photo,121778,94776,9375,6701,5773,0.2305
TikTok,Beauty,Video,148524,94809,16291,2163,489,0.1998
Facebook,Gaming,Text,95634,92977,10779,3689,8746,0.2497
Facebook,Challenge,Video,144553,94199,16602,3357,3715,0.2513
TikTok,Gaming,Video,100690,98830,4875,1797,3784,0.1058
Twitter,Fitness,Carrousel,118643,80723,7199,2564,4572,0.1776
Twitter,Education,Video,163234,97380,7593,4616,3023,0.1564
Instagram,Challenge,Video,107458,94152,6887,1069,3205,0.1185
TikTok,Tech,Video,179475,94880,11034,1965,2827,0.1668
Twitter,Beauty,Video,154628,99109,11614,3728,3448,0.1896
Instagram,Education,Video,109775,88548,8794,5490,5607,0.2246
TikTok,Education,Photo,168236,85133,8381,3554,5528,0.2051
Facebook,Gaming,Carrousel,106193,71739,9164,4074,350,0.1894
Twitter,Comedy,Photo,62519,55126,4167,3539,1867,0.1737
Twitter,Challenge,Photo,95671,34948,3135,2975,2194,0.2376
Instagram,Education,Carrousel,103500,87210,8165,3595,6589,0.2104
TikTok,Fitness,Video,158196,69106,21678,15027,2237,0.5635
Instagram,Beauty,Photo,98670,86775,18963,647,2903,0.2594
Instagram,Tech,Video,90278,64476,23569,19891,3397,0.7267
Twitter,Music,Video,97790,82568,6791,1875,4107,0.1547
Facebook,Fitness,Photo,174411,90025,13871,628,1717,0.1801
Instagram,Comedy,Video,81640,61012,15027,12195,4068,0.5128
Twitter,Comedy,Carrousel,160539,85803,13526,5770,1569,0.2432
Instagram,Tech,Video,78062,61553,4940,969,1742,0.1243
Instagram,Beauty,Video,104847,90098,13168,6177,592,0.2213
TikTok,Education,Video,139817,93620,12757,1886,2521,0.1833
Instagram,Gaming,Carrousel,17554,9692,13165,5331,3324,2.2513
Facebook,Gaming,Carrousel,97401,61702,5914,4565,4708,0.2461
Facebook,Challenge,Carrousel,117342,89674,13518,8901,541,0.256
Instagram,Tech,Video,129816,84936,5297,1506,1836,0.1017
Instagram,Tech,Video,121773,90898,11238,5849,4214,0.2343
Facebook,Education,Photo,140020,87206,8153,898,3741,0.1467
TikTok,Comedy,Video,89220,60819,7448,6019,1398,0.2444
Instagram,Music,Video,178044,72678,8407,6368,1873,0.2291
Facebook,Beauty,Carrousel,131412,95738,5801,2756,453,0.0941
Facebook,Gaming,Video,176446,96844,10161,547,8083,0.194
Instagram,Beauty,Video,143368,85766,14472,174,6058,0.2414
Instagram,Education,Video,160744,77010,5460,4706,1036,0.1455
Twitter,Beauty,Text,134111,93130,23450,15807,1674,0.4395
Twitter,Music,Text,39945,36872,4152,3722,449,0.2257
Facebook,Comedy,Video,123605,94048,9520,5207,1996,0.1778
Facebook,Challenge,Photo,120495,85468,8612,8478,3504,0.241
Twitter,Education,Photo,70188,15159,13373,10780,10049,2.2562
TikTok,Tech,Video,145416,55464,8583,2099,258,0.1972
Facebook,Beauty,Video,134453,57805,8516,3152,2660,0.2479
Instagram,Beauty,Video,88984,36686,15787,13715,9894,1.0739
Instagram,Beauty,Video,114278,66615,27323,15647,8915,0.7789
Instagram,Gaming,Carrousel,92573,92442,13019,3647,6315,0.2486
Instagram,Fitness,Video,162760,56734,8385,2838,3153,0.2534
TikTok,Fitness,Video,132908,48110,3262,2819,372,0.1341
Instagram,Education,Carrousel,142467,79020,8732,4886,5212,0.2383
Twitter,Education,Photo,136697,97793,10301,8232,2279,0.2128
Instagram,Fitness,Video,147733,63914,9017,251,15,0.1452
Instagram,Gaming,Carrousel,143237,90194,11822,2167,468,0.1603
Facebook,Challenge,Photo,113391,78799,12425,1187,4192,0.2259
Facebook,Music,Video,111009,63930,12105,1274,727,0.2206
Twitter,Tech,Photo,165136,91533,11261,1888,604,0.1503
TikTok,Education,Video,139983,70876,13465,3287,1476,0.2572
Facebook,Fitness,Video,150669,53237,6864,3575,1409,0.2226
Twitter,Education,Video,106131,87200,8263,3568,6220,0.207
Facebook,Music,Text,134046,95840,7258,1598,402,0.0966
TikTok,Fitness,Photo,149731,94985,14267,6267,3024,0.248
Facebook,Music,Photo,156693,75476,13425,1122,2027,0.2196
Instagram,Comedy,Carrousel,89326,79153,5846,3478,3262,0.159
TikTok,Fitness,Photo,85201,76279,16524,2802,203,0.256
Twitter,Gaming,Video,76133,67716,8605,4230,278,0.1936
Twitter,Challenge,Text,177223,89446,9529,145,2204,0.1328
Instagram,Challenge,Video,146402,86913,7851,4829,2787,0.178
TikTok,Challenge,Video,92553,85039,10548,431,3499,0.1703
TikTok,Education,Video,120941,85291,4173,3333,1618,0.107
Twitter,Education,Carrousel,158071,99585,8438,5770,8341,0.2264
Twitter,Fitness,Text,122145,99492,11140,9320,877,0.2145
Facebook,Music,Carrousel,130660,98466,12992,2856,5073,0.2125
Instagram,Beauty,Video,148108,44498,5540,4892,236,0.2397
Instagram,Beauty,Video,142835,79965,7607,5356,3886,0.2107
Twitter,Education,Video,177575,30805,28866,5220,3142,1.2085
TikTok,Gaming,Photo,142074,64458,5448,686,3569,0.1505
Twitter,Gaming,Carrousel,160489,94527,11063,7416,2668,0.2237
Instagram,Gaming,Video,128968,63030,2953,2007,986,0.0943
Facebook,Challenge,Photo,173642,95093,12839,6450,2695,0.2312
Facebook,Comedy,Carrousel,68195,67166,20789,15312,676,0.5476
Twitter,Education,Carrousel,94448,82023,14109,154,6922,0.2583
Instagram,Tech,Video,162369,95785,13610,7741,2908,0.2533
Twitter,Beauty,Text,111712,92116,11941,1794,7024,0.2254
Instagram,Comedy,Video,138898,85018,11528,465,5002,0.1999
Facebook,Challenge,Text,88271,82768,8408,1936,96,0.1261
TikTok,Fitness,Video,155872,97807,9793,8709,5577,0.2462
Instagram,Education,Video,124954,83279,15078,2373,135,0.2112
Instagram,Tech,Video,131663,59219,9158,4267,1313,0.2489
TikTok,Comedy,Video,121912,93034,13678,5599,541,0.213
Facebook,Gaming,Carrousel,102130,97931,10282,5126,2381,0.1816
TikTok,Music,Video,168314,83362,7451,3613,5014,0.1929
Twitter,Music,Text,118116,97661,11608,6376,4789,0.2332
TikTok,Music,Video,125688,98190,7717,729,2292,0.1094
Instagram,Beauty,Video,96147,89900,18307,794,1414,0.2282
TikTok,Challenge,Photo,171062,84687,10268,9165,2450,0.2584
Instagram,Education,Video,108098,98899,15660,3886,2949,0.2275
Facebook,Comedy,Photo,93959,80375,4540,2235,4458,0.1398
Facebook,Comedy,Photo,119554,79968,9610,3717,1975,0.1914
TikTok,Gaming,Video,92856,50608,6512,2016,939,0.1871
Instagram,Fitness,Video,112356,66970,11797,3556,1137,0.2462
Instagram,Beauty,Video,138602,99769,10833,4957,7822,0.2367
TikTok,Comedy,Video,109941,83717,9614,8615,2771,0.2508
Instagram,Challenge,Carrousel,154608,83528,11085,2773,4589,0.2208
TikTok,Challenge,Video,111095,91573,14782,3090,3980,0.2386
Instagram,Challenge,Video,135998,79163,10021,3028,7335,0.2575
Instagram,Challenge,Video,178193,99540,13510,9645,1505,0.2477
Instagram,Comedy,Video,115158,96964,7646,2166,7020,0.1736
Facebook,Music,Carrousel,145433,62765,7085,2808,2101,0.1911
Instagram,Music,Video,95959,87376,8172,3776,5849,0.2037
Twitter,Fitness,Text,124400,90317,9963,8739,1909,0.2282
Facebook,Education,Video,65765,62069,9960,3169,1130,0.2297
Facebook,Comedy,Text,173808,60066,5885,4378,986,0.1873
Facebook,Gaming,Carrousel,135452,94324,6578,1785,2877,0.1192
Facebook,Beauty,Carrousel,82150,71459,8852,3458,1611,0.1948
Instagram,Gaming,Video,81459,11297,7587,2752,3440,1.2197
Twitter,Comedy,Carrousel,147573,99664,16212,6437,2002,0.2473
Facebook,Beauty,Carrousel,160573,91470,10841,4973,2348,0.1986
Facebook,Tech,Carrousel,171724,73624,6992,3559,189,0.1459
Twitter,Challenge,Video,126755,85497,8805,6938,5295,0.2461
Twitter,Beauty,Carrousel,165218,92208,8336,7388,44,0.171
Facebook,Music,Carrousel,157512,91786,14916,3398,4164,0.2449
Facebook,Music,Photo,82935,80859,10161,2549,3450,0.1999
Facebook,Beauty,Carrousel,167506,75515,14558,572,2077,0.2279
Twitter,Challenge,Carrousel,91070,75519,10658,2847,2014,0.2055
Instagram,Challenge,Video,128032,95352,10521,8248,3835,0.2371
Facebook,Comedy,Text,113021,89236,13797,2785,6226,0.2556
Facebook,Challenge,Carrousel,86031,75184,4154,1785,1820,0.1032
Twitter,Tech,Carrousel,110908,92945,9566,1733,4723,0.1724
Facebook,Music,Carrousel,135997,99766,12418,5180,3102,0.2075
Instagram,Challenge,Carrousel,169114,52395,4995,3580,371,0.1707
Twitter,Gaming,Carrousel,153385,94912,14198,8504,114,0.2404
Facebook,Comedy,Carrousel,155230,96142,16458,3576,1539,0.2244
Twitter,Education,Video,171140,45010,6316,2297,1101,0.2158
Facebook,Education,Carrousel,129470,45263,7382,495,901,0.1939
TikTok,Tech,Video,171477,66680,6213,4360,3153,0.2058
Facebook,Beauty,Video,126999,75565,8757,664,2311,0.1553
Facebook,Fitness,Photo,144122,97294,9858,5139,6625,0.2222
Facebook,Tech,Text,108901,54654,3596,1344,619,0.1017
Instagram,Beauty,Video,75562,60092,8980,563,5075,0.2433
Instagram,Gaming,Video,102070,62950,6366,2908,3120,0.1969
TikTok,Gaming,Video,162672,64197,5237,5231,2127,0.1962
TikTok,Challenge,Video,139194,91057,18877,2609,1071,0.2477
Instagram,Gaming,Video,152742,99652,22319,359,1526,0.2429
Twitter,Beauty,Video,161589,94365,18400,2130,2574,0.2448
TikTok,Music,Video,50216,46414,28507,10669,2057,0.8884
